date,consommation
2015-10-21,2821759.0
2015-10-22,2788323.0
2015-10-23,2686747.0
2015-10-24,2399503.0
2015-10-25,2231231.0
2015-10-26,2590768.0
2015-10-27,2608697.0
2015-10-28,2625468.0
2015-10-29,2663128.0
2015-10-30,2614415.0
2015-10-31,2333353.0
2015-11-01,2222128.0
2015-11-02,2663324.0
2015-11-03,2729250.0
2015-11-04,2671969.0
2015-11-05,2634356.0
2015-11-06,2561168.0
2015-11-07,2228773.0
2015-11-08,2109358.0
2015-11-09,2457400.0
2015-11-10,2563064.0
2015-11-11,2333948.0
2015-11-12,2639917.0
2015-11-13,2683267.0
2015-11-14,2495433.0
2015-11-15,2331880.0
2015-11-16,2694478.0
2015-11-17,2735130.0
2015-11-18,2673576.0
2015-11-19,2696936.0
2015-11-20,2719608.0
2015-11-21,2688627.0
2015-11-22,2778456.0
2015-11-23,3268847.0
2015-11-24,3456477.0
2015-11-25,3275018.0
2015-11-26,3223483.0
2015-11-27,3280316.0
2015-11-28,3007198.0
2015-11-29,2818547.0
2015-11-30,3049942.0
2015-12-01,3043547.0
2015-12-02,3098204.0
2015-12-03,3184086.0
2015-12-04,3102912.0
2015-12-05,2889169.0
2015-12-06,2674712.0
2015-12-07,2942242.0
2015-12-08,3042601.0
2015-12-09,3101912.0
2015-12-10,3313829.0
2015-12-11,3265498.0
2015-12-12,2887498.0
2015-12-13,2840670.0
2015-12-14,3199451.0
2015-12-15,3162953.0
2015-12-16,3027736.0
2015-12-17,2939941.0
2015-12-18,2870984.0
2015-12-19,2598233.0
2015-12-20,2487290.0
2015-12-21,2788346.0
2015-12-22,2816189.0
2015-12-23,2766974.0
2015-12-24,2625960.0
2015-12-25,2321132.0
2015-12-26,2431705.0
2015-12-27,2451082.0
2015-12-28,2730221.0
2015-12-29,2747345.0
2015-12-30,2801875.0
2015-12-31,2734970.0
2016-01-01,2581914.0
2016-01-02,2663011.0
2016-01-03,2725351.0
2016-01-04,3092978.0
2016-01-05,3231827.0
2016-01-06,3266917.0
2016-01-07,3252384.0
2016-01-08,3208979.0
2016-01-09,2854915.0
2016-01-10,2783910.0
2016-01-11,3186699.0
2016-01-12,3326151.0
2016-01-13,3439428.0
2016-01-14,3485339.0
2016-01-15,3582516.0
2016-01-16,3373065.0
2016-01-17,3274187.0
2016-01-18,3758617.0
2016-01-19,3791911.0
2016-01-20,3766648.0
2016-01-21,3779064.0
2016-01-22,3709023.0
2016-01-23,3140136.0
2016-01-24,2926941.0
2016-01-25,3191625.0
2016-01-26,3173976.0
2016-01-27,3160555.0
2016-01-28,3154575.0
2016-01-29,3200717.0
2016-01-30,2941418.0
2016-01-31,2718099.0
2016-02-01,2965686.0
2016-02-02,3025754.0
2016-02-03,3180444.0
2016-02-04,3334977.0
2016-02-05,3123339.0
2016-02-06,2809521.0
2016-02-07,2715229.0
2016-02-08,3120124.0
2016-02-09,3225357.0
2016-02-10,3370696.0
2016-02-11,3375452.0
2016-02-12,3388770.0
2016-02-13,3015763.0
2016-02-14,2839386.0
2016-02-15,3389458.0
2016-02-16,3533646.0
2016-02-17,3611783.0
2016-02-18,3604879.0
2016-02-19,3460663.0
2016-02-20,3075724.0
2016-02-21,2699034.0
2016-02-22,3037062.0
2016-02-23,3114359.0
2016-02-24,3224568.0
2016-02-25,3262489.0
2016-02-26,3310758.0
2016-02-27,3105694.0
2016-02-28,3011050.0
2016-02-29,3421668.0
2016-03-01,3436685.0
2016-03-02,3283684.0
2016-03-03,3357190.0
2016-03-04,3278900.0
2016-03-05,3029816.0
2016-03-06,2965812.0
2016-03-07,3363532.0
2016-03-08,3435828.0
2016-03-09,3384643.0
2016-03-10,3332213.0
2016-03-11,3234613.0
2016-03-12,2904598.0
2016-03-13,2787202.0
2016-03-14,3116270.0
2016-03-15,3111153.0
2016-03-16,3224281.0
2016-03-17,3199951.0
2016-03-18,3093207.0
2016-03-19,2837132.0
2016-03-20,2705080.0
2016-03-21,2995226.0
2016-03-22,2980117.0
2016-03-23,3029996.0
2016-03-24,2996966.0
2016-03-25,2949457.0
2016-03-26,2578786.0
2016-03-27,2452095.0
2016-03-28,2517651.0
2016-03-29,2845767.0
2016-03-30,2831293.0
2016-03-31,2850317.0
2016-04-01,2922903.0
2016-04-02,2650318.0
2016-04-03,2332941.0
2016-04-04,2631933.0
2016-04-05,2683008.0
2016-04-06,2703037.0
2016-04-07,2765961.0
2016-04-08,2824265.0
2016-04-09,2561173.0
2016-04-10,2362687.0
2016-04-11,2598569.0
2016-04-12,2608441.0
2016-04-13,2588090.0
2016-04-14,2598216.0
2016-04-15,2534681.0
2016-04-16,2284963.0
2016-04-17,2242121.0
2016-04-18,2642271.0
2016-04-19,2626629.0
2016-04-20,2537287.0
2016-04-21,2494025.0
2016-04-22,2446655.0
2016-04-23,2297785.0
2016-04-24,2346304.0
2016-04-25,2787702.0
2016-04-26,2815279.0
2016-04-27,2861881.0
2016-04-28,2802860.0
2016-04-29,2730379.0
2016-04-30,2490153.0
2016-05-01,2346994.0
2016-05-02,2578880.0
2016-05-03,2530967.0
2016-05-04,2479837.0
2016-05-05,2091902.0
2016-05-06,2131489.0
2016-05-07,1980447.0
2016-05-08,1873584.0
2016-05-09,2252904.0
2016-05-10,2319114.0
2016-05-11,2343316.0
2016-05-12,2363892.0
2016-05-13,2351905.0
2016-05-14,2114552.0
2016-05-15,1996226.0
2016-05-16,2066498.0
2016-05-17,2330924.0
2016-05-18,2352150.0
2016-05-19,2383366.0
2016-05-20,2343721.0
2016-05-21,2029234.0
2016-05-22,1913241.0
2016-05-23,2316918.0
2016-05-24,2364785.0
2016-05-25,2317691.0
2016-05-26,2266492.0
2016-05-27,2228595.0
2016-05-28,1965569.0
2016-05-29,1845211.0
2016-05-30,2247605.0
2016-05-31,2349303.0
2016-06-01,2333154.0
2016-06-02,2357921.0
2016-06-03,2332331.0
2016-06-04,2045222.0
2016-06-05,1881574.0
2016-06-06,2200464.0
2016-06-07,2233299.0
2016-06-08,2234886.0
2016-06-09,2235002.0
2016-06-10,2203794.0
2016-06-11,1953913.0
2016-06-12,1842219.0
2016-06-13,2192065.0
2016-06-14,2229122.0
2016-06-15,2262924.0
2016-06-16,2276054.0
2016-06-17,2253429.0
2016-06-18,1996615.0
2016-06-19,1868232.0
2016-06-20,2230720.0
2016-06-21,2297281.0
2016-06-22,2316042.0
2016-06-23,2325574.0
2016-06-24,2276853.0
2016-06-25,1992019.0
2016-06-26,1855937.0
2016-06-27,2208226.0
2016-06-28,2269792.0
2016-06-29,2288697.0
2016-06-30,2306650.0
2016-07-01,2286793.0
2016-07-02,2005025.0
2016-07-03,1872598.0
2016-07-04,2242620.0
2016-07-05,2305529.0
2016-07-06,2314177.0
2016-07-07,2338662.0
2016-07-08,2327961.0
2016-07-09,2077099.0
2016-07-10,1951961.0
2016-07-11,2276969.0
2016-07-12,2292727.0
2016-07-13,2255867.0
2016-07-14,1948070.0
2016-07-15,2077712.0
2016-07-16,1961096.0
2016-07-17,1868022.0
2016-07-18,2266997.0
2016-07-19,2368509.0
2016-07-20,2366916.0
2016-07-21,2345838.0
2016-07-22,2279225.0
2016-07-23,2008329.0
2016-07-24,1874402.0
2016-07-25,2226282.0
2016-07-26,2270962.0
2016-07-27,2265736.0
2016-07-28,2263862.0
2016-07-29,2220823.0
2016-07-30,1977124.0
2016-07-31,1820434.0
2016-08-01,2052809.0
2016-08-02,2106732.0
2016-08-03,2126107.0
2016-08-04,2114386.0
2016-08-05,2047046.0
2016-08-06,1868463.0
2016-08-07,1777327.0
2016-08-08,2008810.0
2016-08-09,2025393.0
2016-08-10,1998384.0
2016-08-11,2006553.0
2016-08-12,2025161.0
2016-08-13,1896817.0
2016-08-14,1778499.0
2016-08-15,1822405.0
2016-08-16,2071016.0
2016-08-17,2107372.0
2016-08-18,2104695.0
2016-08-19,2096746.0
2016-08-20,1913656.0
2016-08-21,1777432.0
2016-08-22,2108157.0
2016-08-23,2226289.0
2016-08-24,2274904.0
2016-08-25,2308959.0
2016-08-26,2300638.0
2016-08-27,2075919.0
2016-08-28,1908770.0
2016-08-29,2232858.0
2016-08-30,2293441.0
2016-08-31,2319029.0
2016-09-01,2331401.0
2016-09-02,2315504.0
2016-09-03,2051996.0
2016-09-04,1922653.0
2016-09-05,2269954.0
2016-09-06,2347102.0
2016-09-07,2337877.0
2016-09-08,2331248.0
2016-09-09,2304756.0
2016-09-10,2040338.0
2016-09-11,1910114.0
2016-09-12,2280353.0
2016-09-13,2343050.0
2016-09-14,2308334.0
2016-09-15,2279700.0
2016-09-16,2247215.0
2016-09-17,1987833.0
2016-09-18,1885489.0
2016-09-19,2223424.0
2016-09-20,2277649.0
2016-09-21,2280236.0
2016-09-22,2283440.0
2016-09-23,2256698.0
2016-09-24,2001202.0
2016-09-25,1872202.0
2016-09-26,2228227.0
2016-09-27,2294685.0
2016-09-28,2292334.0
2016-09-29,2293463.0
2016-09-30,2271918.0
2016-10-01,2036968.0
2016-10-02,1927665.0
2016-10-03,2275022.0
2016-10-04,2348503.0
2016-10-05,2375242.0
2016-10-06,2430702.0
2016-10-07,2464324.0
2016-10-08,2207137.0
2016-10-09,2119584.0
2016-10-10,2561944.0
2016-10-11,2665238.0
2016-10-12,2731895.0
2016-10-13,2782177.0
2016-10-14,2722259.0
2016-10-15,2352406.0
2016-10-16,2185509.0
2016-10-17,2509701.0
2016-10-18,2590804.0
2016-10-19,2664266.0
2016-10-20,2700736.0
2016-10-21,2707373.0
2016-10-22,2482421.0
2016-10-23,2385135.0
2016-10-24,2626274.0
2016-10-25,2633264.0
2016-10-26,2649102.0
2016-10-27,2674194.0
2016-10-28,2675729.0
2016-10-29,2412153.0
2016-10-30,2269387.0
2016-10-31,2463249.0
2016-11-01,2355040.0
2016-11-02,2707376.0
2016-11-03,2883603.0
2016-11-04,2943620.0
2016-11-05,2594327.0
2016-11-06,2586805.0
2016-11-07,3143965.0
2016-11-08,3265403.0
2016-11-09,3254390.0
2016-11-10,3133547.0
2016-11-11,2772815.0
2016-11-12,2891621.0
2016-11-13,2705973.0
2016-11-14,3086150.0
2016-11-15,3117651.0
2016-11-16,3024011.0
2016-11-17,2965428.0
2016-11-18,2974988.0
2016-11-19,2782531.0
2016-11-20,2585238.0
2016-11-21,2846428.0
2016-11-22,2959567.0
2016-11-23,2960389.0
2016-11-24,2941712.0
2016-11-25,2991517.0
2016-11-26,2755573.0
2016-11-27,2675970.0
2016-11-28,3189776.0
2016-11-29,3476682.0
2016-11-30,3511125.0
2016-12-01,3538603.0
2016-12-02,3527373.0
2016-12-03,3201575.0
2016-12-04,3122451.0
2016-12-05,3378440.0
2016-12-06,3387750.0
2016-12-07,3411629.0
2016-12-08,3402556.0
2016-12-09,3326995.0
2016-12-10,3084943.0
2016-12-11,2946351.0
2016-12-12,3288475.0
2016-12-13,3338888.0
2016-12-14,3329042.0
2016-12-15,3369530.0
2016-12-16,3251112.0
2016-12-17,3085022.0
2016-12-18,3072079.0
2016-12-19,3477709.0
2016-12-20,3495067.0
2016-12-21,3472143.0
2016-12-22,3318496.0
2016-12-23,3190337.0
2016-12-24,2822439.0
2016-12-25,2579133.0
2016-12-26,2785583.0
2016-12-27,3045834.0
2016-12-28,3211534.0
2016-12-29,3378214.0
2016-12-30,3478182.0
2016-12-31,3450789.0
2017-01-01,3303245.0
2017-01-02,3529930.0
2017-01-03,3766399.0
2017-01-04,3843997.0
2017-01-05,3769675.0
2017-01-06,3917132.0
2017-01-07,3756999.0
2017-01-08,3397478.0
2017-01-09,3610012.0
2017-01-10,3602776.0
2017-01-11,3529295.0
2017-01-12,3462001.0
2017-01-13,3584963.0
2017-01-14,3412311.0
2017-01-15,3331993.0
2017-01-16,3663871.0
2017-01-17,3943004.0
2017-01-18,4122553.0
2017-01-19,4157505.0
2017-01-20,4109446.0
2017-01-21,3800156.0
2017-01-22,3638359.0
2017-01-23,3921825.0
2017-01-24,4013432.0
2017-01-25,4084701.0
2017-01-26,4074678.0
2017-01-27,3829823.0
2017-01-28,3273347.0
2017-01-29,3117708.0
2017-01-30,3367215.0
2017-01-31,3227180.0
2017-02-01,3171562.0
2017-02-02,3159109.0
2017-02-03,3187651.0
2017-02-04,2986299.0
2017-02-05,2914977.0
2017-02-06,3330350.0
2017-02-07,3318536.0
2017-02-08,3396238.0
2017-02-09,3517220.0
2017-02-10,3553285.0
2017-02-11,3353101.0
2017-02-12,3122317.0
2017-02-13,3267240.0
2017-02-14,3205806.0
2017-02-15,3064708.0
2017-02-16,3047999.0
2017-02-17,3049549.0
2017-02-18,2831721.0
2017-02-19,2770186.0
2017-02-20,3059180.0
2017-02-21,3008375.0
2017-02-22,2989350.0
2017-02-23,3024584.0
2017-02-24,3049465.0
2017-02-25,2893683.0
2017-02-26,2699731.0
2017-02-27,3033844.0
2017-02-28,3212608.0
2017-03-01,3240125.0
