date,consommation,temperature,precipitation,is_non_ouvre
2018-02-23,3731110.0,1.12,0.0133333333333333,0
2018-02-24,3472813.0,1.653333333333333,0.89,1
2018-02-25,3373178.0,1.283333333333333,0.42,1
2018-02-26,3930315.0,-1.666666666666667,0.4433333333333333,0
2018-02-27,4176588.0,-3.579999999999999,0.0366666666666666,0
2018-02-28,4300804.0,-2.443333333333334,3.0533333333333337,0
2018-03-01,4059949.0,3.1700000000000004,5.456666666666666,0
2018-03-02,3690366.0,5.373333333333332,6.776666666666666,0
2018-03-03,3213037.0,6.416666666666667,3.056666666666666,1
2018-03-04,2979012.0,7.27,5.15,1
2018-03-05,3226358.0,7.603333333333333,2.54,0
2018-03-06,3211273.0,7.1933333333333325,3.84,0
2018-03-07,3257912.0,6.596666666666666,2.5333333333333337,0
2018-03-08,3253833.0,7.463333333333335,2.1166666666666663,0
2018-03-09,3082583.0,9.993333333333336,1.4633333333333338,0
2018-03-10,2656858.0,12.443333333333332,3.993333333333334,1
2018-03-11,2444561.0,12.04666666666667,6.98,1
2018-03-12,2883001.0,9.936666666666666,3.6966666666666654,0
2018-03-13,2997601.0,8.396666666666665,2.05,0
2018-03-14,2996323.0,9.12,0.8333333333333334,0
2018-03-15,2976583.0,9.413333333333336,9.973333333333333,0
2018-03-16,2937706.0,8.416666666666666,2.796666666666667,0
2018-03-17,2868524.0,5.739999999999999,6.053333333333334,1
2018-03-18,2963056.0,4.153333333333333,2.39,1
2018-03-19,3474695.0,3.3566666666666665,2.3600000000000003,0
2018-03-20,3568645.0,3.256666666666667,0.7200000000000001,0
2018-03-21,3520830.0,3.576666666666666,0.1733333333333333,0
2018-03-22,3460281.0,4.1,0.6266666666666666,0
2018-03-23,3316235.0,5.870000000000001,0.7266666666666666,0
2018-03-24,2894868.0,7.436666666666666,3.2299999999999995,1
2018-03-25,2676640.0,8.283333333333331,1.6633333333333338,1
2018-03-26,2979718.0,8.293333333333331,2.72,0
2018-03-27,3080125.0,8.54,5.346666666666667,0
2018-03-28,3011409.0,10.226666666666668,5.6466666666666665,0
2018-03-29,3029074.0,8.216666666666667,3.603333333333333,0
2018-03-30,3031570.0,7.77,6.556666666666668,0
2018-03-31,2796401.0,7.003333333333331,4.033333333333332,1
2018-04-01,2633134.0,7.963333333333334,1.163333333333333,1
2018-04-02,2578205.0,10.533333333333337,1.3166666666666669,1
2018-04-03,2773417.0,12.326666666666666,3.51,0
2018-04-04,2790700.0,11.523333333333332,6.010000000000001,0
2018-04-05,2812880.0,10.083333333333332,0.9733333333333332,0
2018-04-06,2718302.0,11.850000000000003,0.0,0
2018-04-07,2330317.0,13.7,3.4,1
2018-04-08,2173033.0,12.956666666666669,5.483333333333333,1
2018-04-09,2540300.0,12.006666666666666,4.873333333333333,0
2018-04-10,2647205.0,10.93,5.513333333333334,0
2018-04-11,2692072.0,10.73666666666667,8.433333333333334,0
2018-04-12,2688891.0,10.706666666666669,6.679999999999999,0
2018-04-13,2610010.0,11.043333333333331,2.136666666666667,0
2018-04-14,2329724.0,11.986666666666665,3.02,1
2018-04-15,2172188.0,12.830000000000004,0.9266666666666666,1
2018-04-16,2462922.0,12.55,1.0,0
2018-04-17,2452462.0,14.096666666666668,0.0,0
2018-04-18,2327709.0,16.486666666666668,0.0,0
2018-04-19,2271125.0,17.813333333333336,0.0133333333333333,0
2018-04-20,2267351.0,17.933333333333337,0.01,0
2018-04-21,2007838.0,18.383333333333333,0.0566666666666666,1
2018-04-22,1872591.0,17.8,0.2399999999999999,1
2018-04-23,2180495.0,15.123333333333331,1.8700000000000003,0
2018-04-24,2248795.0,15.21,0.0433333333333333,0
2018-04-25,2290694.0,14.406666666666668,0.5433333333333333,0
2018-04-26,2331104.0,12.399999999999997,0.5666666666666667,0
2018-04-27,2333184.0,12.996666666666668,0.3399999999999999,0
2018-04-28,2091811.0,12.873333333333331,2.44,1
2018-04-29,2057134.0,12.310000000000002,11.753333333333332,1
2018-04-30,2428310.0,9.84,9.333333333333334,0
2018-05-01,2198228.0,9.593333333333332,1.3933333333333335,1
2018-05-02,2515495.0,10.903333333333332,0.9766666666666668,0
2018-05-03,2487348.0,11.98,1.4466666666666668,0
2018-05-04,2414219.0,13.22,0.3733333333333333,0
2018-05-05,2099639.0,15.683333333333334,0.47,1
2018-05-06,1907317.0,17.923333333333336,0.3066666666666667,1
2018-05-07,2115342.0,18.44333333333333,1.4966666666666666,0
2018-05-08,1958325.0,17.296666666666667,1.5533333333333337,1
2018-05-09,2109130.0,15.756666666666664,1.5799999999999998,0
2018-05-10,1971765.0,13.706666666666669,2.7833333333333328,1
2018-05-11,2118709.0,14.53,0.1266666666666666,0
2018-05-12,2010966.0,14.316666666666666,5.283333333333333,1
2018-05-13,1995054.0,10.273333333333335,11.123333333333337,1
2018-05-14,2423001.0,11.03,7.533333333333333,0
2018-05-15,2448259.0,14.003333333333336,3.61,0
2018-05-16,2380265.0,14.743333333333332,1.5733333333333337,0
2018-05-17,2356484.0,14.436666666666666,0.8433333333333334,0
2018-05-18,2298132.0,14.563333333333334,0.13,0
2018-05-19,2033180.0,14.973333333333336,0.4866666666666666,1
2018-05-20,1887317.0,15.699999999999998,0.5266666666666666,1
2018-05-21,1953821.0,16.9,1.0,1
2018-05-22,2235443.0,16.870000000000005,2.873333333333333,0
2018-05-23,2258150.0,16.756666666666668,2.9600000000000004,0
2018-05-24,2268980.0,17.733333333333334,1.2966666666666666,0
